ID_Provinsi;Provinsi;Tahun;PDRB;Konsumsi_RT;NTL;IPM;Jumlah_Penduduk;Proporsi_Informal;Realisasi_Pajak;NO2;Proporsi_Agrikultur
28;Sulawesi Selatan;2021;544857,0;2675465,18;89466,64;73,38;9073500;63,24;5822,63;0,011402309;22,54
28;Sulawesi Selatan;2022;605176,0;2923560,38;72523,46;73,96;9156900;63,55;6712,54;0,012101217;22,13
28;Sulawesi Selatan;2023;652648,0;3148967,07;99335,92;74,6;9260100;62,77;6874,83;0,013124008;21,69
29;Sulawesi Tengah;2019;185740,0;2175624,29;55153,96;69,5;3042100;62,97;1271,72;0,010937569;23,2
29;Sulawesi Tengah;2020;197441,0;2072111,18;71565,21;70,31;3121800;67,37;1295,19;0,012397214;21,76
29;Sulawesi Tengah;2021;247280,0;2277014,88;79404,98;70,54;2985700;67,32;1532,36;0,013588851;18,8
29;Sulawesi Tengah;2022;323630,0;2487957,44;72479,52;71,01;3015000;67,87;1876,6;0,015368246;15,82
29;Sulawesi Tengah;2023;347139,0;2700849,94;97739,77;71,66;3051200;66,1;2048,75;0,016745845;15,77
30;Sulawesi Tenggara;2019;129225,0;1985533,91;34130,49;71,2;2663700;62,55;1140,65;0,008634248;23,73
30;Sulawesi Tenggara;2020;130107,0;1921124,08;48617,21;71,61;2793100;64,59;1045,11;0,008439281;24,13
30;Sulawesi Tenggara;2021;139477,0;2132030,43;52048,19;71,82;2624900;62,81;1385,09;0,009816634;23,61
30;Sulawesi Tenggara;2022;158800,0;2317862,83;46702,57;72,38;2659900;62,39;1587,46;0,010735976;23,27
30;Sulawesi Tenggara;2023;176180,0;2506652,25;61597,86;72,94;2704600;61,84;1633,05;0,010892857;23,02
31;Sulawesi Utara;2019;130127,0;1908139,88;24248,61;72,99;2494100;54,81;1659,35;0,002343702;20,83
31;Sulawesi Utara;2020;132230,0;1764650,73;28259,47;73,67;2701800;60,46;1384,78;0,002518599;21,51
31;Sulawesi Utara;2021;142620,0;1934408,25;29974,92;74,03;2621900;60,7;1600,09;0,002527308;21,09
31;Sulawesi Utara;2022;157039,0;2151070,28;27483,69;74,52;2639500;59,15;1867,42;0,002518065;20,9
31;Sulawesi Utara;2023;171969,0;2386722,66;34278,97;75,04;2660800;58,14;1781,81;0,002896985;20,45
32;Sumatera Barat;2019;245950,0;2035115,73;54961,02;72,39;5479500;62,13;2605,19;0,015680234;22,15
32;Sumatera Barat;2020;241894,0;1868881,58;59182,87;74,29;5836200;66,28;2462,1;0,013895991;22,36
32;Sumatera Barat;2021;253100,0;2050350,83;64263,43;74,56;5534500;64,77;2786,16;0,015280805;21,69
32;Sumatera Barat;2022;285375,0;2265377,95;45805,27;75,16;5597300;65,26;3110,86;0,015024857;21,2
32;Sumatera Barat;2023;312769,0;2391297,97;67099,06;75,64;5677600;64,19;2942,48;0,01666227;21,04
33;Sumatera Selatan;2019;453403,0;2911792,51;152702,71;70,02;8497200;60,52;4722,41;0,040702759;14,48
33;Sumatera Selatan;2020;454607,0;2787474,68;154463,55;71,62;8837300;65,26;4613,36;0,033563459;15,17
33;Sumatera Selatan;2021;493637,0;3037482,97;157500,13;71,83;8467400;64,16;5099,58;0,038204604;14,71
33;Sumatera Selatan;2022;590079,0;3390360,21;126681,65;72,48;8548600;63,28;6485,77;0,040144234;13,08
33;Sumatera Selatan;2023;629169,0;3675916,18;174926,99;73,18;8647300;62,97;6197,26;0,047288888;13,1
34;Sumatera Utara;2019;799609,0;2442762,91;151144,66;71,74;14639400;55,0;8184,62;0,036170318;20,53
34;Sumatera Utara;2020;811188,0;2261693,98;124401,82;73,62;15588500;59,62;7798,45;0,03202598;21,34
34;Sumatera Utara;2021;859934,0;2458016,32;167977,32;73,84;14799400;59,33;9046,73;0,032441281;22,04
34;Sumatera Utara;2022;955193,0;2684735,54;100961,73;74,51;14970500;59,07;10505,8;0,033731798;22,98
34;Sumatera Utara;2023;1051000,0;2926166,24;184017,5;75,13;15180500;58,52;10187,8;0,03853133;23,59
